Title,Link
"продаж 2-к квартира Білоцерківський, Біла Церква, 72000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-bilotserkivskyi-bila-tserkva-72000-$-8-709574337.html
"продаж торгові площі Київ, Оболонський, 268000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-torhovi-ploshchi-kyiv-obolonskyi-268000-$-15-709574336.html
"продаж 2-к квартира Київ, Святошинський, 86000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-sviatoshynskyi-86000-$-709574335.html
"продаж ділянка сільськогосподарського призначення Бориспільський, Вороньків, 291200 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-dilianka-silskohospodarskoho-pryznachennia-boryspilskyi-voronkiv-291200-hrn-10-709574334.html
"продаж ділянка сільськогосподарського призначення Броварський, Зазим`я, 30000000 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-dilianka-silskohospodarskoho-pryznachennia-brovarskyi-zazymia-30000000-hrn-37-709574333.html
"продаж 6-к будинок Обухівський, Іванковичі, 6829340 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-6-k-budynok-obukhivskyi-ivankovychi-6829340-hrn-36-709574332.html
"продаж 3-к будинок Обухівський, Іванковичі, 4558050 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-budynok-obukhivskyi-ivankovychi-4558050-hrn-35-709574331.html
"продаж ділянка комерційного призначення Броварський, Калинівка, 3256400 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-dilianka-komertsiinoho-pryznachennia-brovarskyi-kalynivka-3256400-hrn-4-709574330.html
"продаж ділянка сільськогосподарського призначення Бориспільський, Вороньків, 520000 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-dilianka-silskohospodarskoho-pryznachennia-boryspilskyi-voronkiv-520000-hrn-6-709574329.html
Оренда салону краси,https://www.bazarok.ua/ru/obyavleniya/orenda-salonu-krasy-638012723.html
"продаж ділянка сільськогосподарського призначення Бориспільський, Вороньків, 415000 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-dilianka-silskohospodarskoho-pryznachennia-boryspilskyi-voronkiv-415000-hrn-4-709574328.html
"продаж ділянка сільськогосподарського призначення Бориспільський, Вороньків, 140000 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-dilianka-silskohospodarskoho-pryznachennia-boryspilskyi-voronkiv-140000-hrn-11-709574327.html
Будинок оренда  .,https://www.bazarok.ua/ru/obyavleniya/budynok-orenda-709574326.html
Продам бинокль марки арсенал,https://www.bazarok.ua/ru/obyavleniya/prodam-bynokl-marky-arsenal-709574325.html
Продам фотоаппарат Чайка-2.,https://www.bazarok.ua/ru/obyavleniya/prodam-fotoapparat-chaika-2-709574324.html
Samsung Galaxy A35 5G black.,https://www.bazarok.ua/ru/obyavleniya/samsung-galaxy-a35-5g-black-709574109.html
"продаж виробничі приміщення Харків, Немишлянський, 2325960 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-vyrobnychi-prymishchennia-kharkiv-nemyshlianskyi-2325960-hrn-24-709574323.html
"Інфрачервона конвеєрна сушильна установка Феруза-Фруктік , 319350 грн.",https://www.bazarok.ua/ru/obyavleniya/infrachervona-konveierna-sushylna-ustanovka-feruza-fruktik-319350-hrn-10-709574322.html
Куплю квартиру Олександрія,https://www.bazarok.ua/ru/obyavleniya/kupliu-kvartiru-oleksandriia-709574319.html
"продаж 1-к квартира Київ, Святошинський, 44900 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-sviatoshynskyi-44900-$-3-709574318.html
"довгострокова оренда офісне приміщення Київ, Солом`янський, 6770 $/міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-ofisne-prymishchennia-kyiv-solomianskyi-6770-$-mis-709573443.html
"Продам Будинок Модульний, 10 m2,",https://www.bazarok.ua/ru/obyavleniya/prodam-budynok-modulnyi-10-m2-709574310.html
"продаж 3-к квартира Київ, Подільський, 58000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-podilskyi-58000-$-7-709574315.html
"продаж 2-к квартира Київ, Подільський, 48000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-podilskyi-48000-$-20-709574314.html
"продаж 3-к квартира Київ, Солом`янський, 59900 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-solomianskyi-59900-$-19-709574313.html
"продаж 1-к квартира Київ, Солом`янський, 49000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-solomianskyi-49000-$-13-709574312.html
"продаж 3-к квартира Київ, Печерський, 190000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-pecherskyi-190000-$-6-709574311.html
Продам куртку теплу,https://www.bazarok.ua/ru/obyavleniya/prodam-kurtku-teplu-709574309.html
"продаж 1-к квартира Київ, Подільський, 75000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-podilskyi-75000-$-709573580.html
"довгострокова оренда 3-к квартира Київ, Солом`янський, 13000 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-3-k-kvartyra-kyiv-solomianskyi-13000-hrn-mis-11-709574308.html
"продаж 1-к квартира Полтава, Шевченківський, 1400000 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-poltava-shevchenkivskyi-1400000-hrn-709574307.html
"продаж 1-к квартира Київ, Оболонський, 39990 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-obolonskyi-39990-$-3-709574306.html
"продаж 2-к квартира Київ, Оболонський, 58990 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-obolonskyi-58990-$-3-709574305.html
"продаж офісне приміщення Київ, Шевченківський, 559000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-ofisne-prymishchennia-kyiv-shevchenkivskyi-559000-$-709574194.html
"довгострокова оренда офісне приміщення Київ, Шевченківський, 5400 $/міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-ofisne-prymishchennia-kyiv-shevchenkivskyi-5400-$-mis-709574182.html
"продаж ділянка сільськогосподарського призначення Бориспільський, Вороньків, 285000 грн.",https://www.bazarok.ua/ru/obyavleniya/prodazh-dilianka-silskohospodarskoho-pryznachennia-boryspilskyi-voronkiv-285000-hrn-3-709574304.html
"продаж 3-к квартира Київ, Подільський, 94800 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-podilskyi-94800-$-3-709574303.html
"продаж 2-к квартира Полтава, Шевченківський, 53906 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-poltava-shevchenkivskyi-53906-$-709574302.html
"продаж 1-к квартира Київ, Подільський, 55000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-podilskyi-55000-$-35-709574301.html
"продаж 1-к квартира Київ, Подільський, 55000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-podilskyi-55000-$-35-709574300.html
"продаж 2-к квартира Київ, Шевченківський, 45000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-shevchenkivskyi-45000-$-8-709574299.html
Коллекционная 10грн,https://www.bazarok.ua/ru/obyavleniya/kollektsionnaia-10grn-709574298.html
Ікона вишита бісером ручної роботи св. блаженна Матрона Handmade,https://www.bazarok.ua/ru/obyavleniya/ikona-vyshyta-biserom-ruchnoi-roboty-sv-blazhenna-matrona-handmade-709540563.html
Кожаная структурированная сумка среднего размера,https://www.bazarok.ua/ru/obyavleniya/kozhanaia-strukturyrovannaia-sumka-sredneho-razmera-709498023.html
Красное вечернее выпускное платье с золотистой накидкой,https://www.bazarok.ua/ru/obyavleniya/krasnoe-vechernee-vypusknoe-plate-s-zolotystoi-nakydkoi-707428296.html
Рубашка горчичного цвета Paul Smith,https://www.bazarok.ua/ru/obyavleniya/rubashka-horchychnoho-tsveta-paul-smith-661091911.html
Сині перламутрові блискучі балетки туфлі човники Gino Rossi,https://www.bazarok.ua/ru/obyavleniya/syni-perlamutrovi-blyskuchi-baletky-tufli-chovnyky-gino-rossi-709537243.html
Синий мужской костюм тройка,https://www.bazarok.ua/ru/obyavleniya/synyi-muzhskoi-kostium-troika-709560615.html
Синій чоловічий костюм-двійка Giordano Conti,https://www.bazarok.ua/ru/obyavleniya/synii-cholovichyi-kostium-dviika-giordano-conti-699418960.html
Белый вязаный кардиган с поясом ручной работы Handmade,https://www.bazarok.ua/ru/obyavleniya/belyi-viazanyi-kardyhan-s-poiasom-ruchnoi-raboty-handmade-676912572.html
Белый светлый кардиган из полушерсти ручной работы Handmade,https://www.bazarok.ua/ru/obyavleniya/belyi-svetlyi-kardyhan-yz-polushersty-ruchnoi-raboty-handmade-692194449.html
"продаж 1-к квартира Київ, Дарницький, 75000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-darnytskyi-75000-$-30-709574258.html
"продаж 1-к квартира Київ, Голосіївський, 99000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-holosiivskyi-99000-$-10-709574257.html
"продаж 1-к квартира Київ, Дніпровський, 54000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-dniprovskyi-54000-$-11-709574256.html
"продаж 3-к квартира Бучанський, Вишневе, 45000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-buchanskyi-vyshneve-45000-$-3-709574255.html
"продаж 2-к квартира Київ, Голосіївський, 102000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-holosiivskyi-102000-$-10-709574254.html
"довгострокова оренда приміщення вільного призначення, будівлі Вінниця, Замостянський, 35000 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-prymishchennia-vilnoho-pryznachennia-budivli-vinnytsia-zamostianskyi-35000-hrn-mis-709574253.html
"продаж 1-к квартира Київ, Шевченківський, 76500 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-shevchenkivskyi-76500-$-3-709574252.html
"продаж 3-к таунхаус Київ, Дарницький, 88000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-taunkhaus-kyiv-darnytskyi-88000-$-5-709574251.html
"продаж 3-к квартира Київ, Печерський, 125000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-pecherskyi-125000-$-6-709574250.html
Оренда салону краси,https://www.bazarok.ua/ru/obyavleniya/orenda-salonu-krasy-638012723.html
ЦАП .fx audio D01,https://www.bazarok.ua/ru/obyavleniya/tsap-fx-audio-d01-709574249.html
"продаж 3-к квартира Київ, Шевченківський, 189000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-shevchenkivskyi-189000-$-7-709574248.html
"продаж офісне приміщення Київ, Голосіївський, 69000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-ofisne-prymishchennia-kyiv-holosiivskyi-69000-$-6-709574247.html
"продаж 4-к будинок Обухівський, Васильків, 151000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-4-k-budynok-obukhivskyi-vasylkiv-151000-$-709573171.html
"Шеф - кухар в Виноградів, Закарпаття на тривалий термін",https://www.bazarok.ua/ru/obyavleniya/shef-kukhar-v-vynohradiv-zakarpattia-na-tryvalyi-termin-709574246.html
"продаж 4-к будинок Козелецький, Крехаїв, 59500 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-4-k-budynok-kozeletskyi-krekhaiv-59500-$-5-709574245.html
"продаж 5-к будинок Фастівський, Боярка, 180000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-5-k-budynok-fastivskyi-boiarka-180000-$-2-709574244.html
"продаж 1-к квартира Київ, Дніпровський, 62000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-dniprovskyi-62000-$-15-709574243.html
"довгострокова оренда офісне приміщення Вінниця, Замостянський, 13500 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-ofisne-prymishchennia-vinnytsia-zamostianskyi-13500-hrn-mis-4-709574242.html
"подобова оренда 2-к квартира Вінниця, Ленінський, 800 грн./добу",https://www.bazarok.ua/ru/obyavleniya/podobova-orenda-2-k-kvartyra-vinnytsia-leninskyi-800-hrn-dobu-42-709574241.html
"продаж 1-к квартира Київ, Подільський, 51000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-podilskyi-51000-$-8-709574240.html
Сдам посуточно квартиру,https://www.bazarok.ua/ru/obyavleniya/sdam-posutochno-kvartiru-3-709574239.html
"продаж приміщення вільного призначення, будівлі Бучанський, Буча, 37000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-prymishchennia-vilnoho-pryznachennia-budivli-buchanskyi-bucha-37000-$-709574238.html
Сапожное оборудование название сомик,https://www.bazarok.ua/ru/obyavleniya/sapozhnoe-oborudovanye-nazvanye-somyk-709573985.html
"продаж 2-к квартира Київ, Оболонський, 104000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-obolonskyi-104000-$-12-709574237.html
"продаж 2-к квартира Київ, Дарницький, 83000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-darnytskyi-83000-$-4-709574236.html
"продаж 1-к квартира Бучанський, Софіївська Борщагівка, 55900 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-buchanskyi-sofiivska-borshchahivka-55900-$-3-709574235.html
"продаж 4-к будинок Бучанський, Гостомель, 145000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-4-k-budynok-buchanskyi-hostomel-145000-$-4-709574234.html
"продаж 1-к квартира Бучанський, Святопетрівське, 28000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-buchanskyi-sviatopetrivske-28000-$-709574233.html
"продаж 1-к квартира Київ, Шевченківський, 27000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-shevchenkivskyi-27000-$-3-709574232.html
"продаж 2-к квартира Київ, Дніпровський, 75000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-dniprovskyi-75000-$-4-709574231.html
"продаж 1-к квартира Київ, Шевченківський, 52500 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-shevchenkivskyi-52500-$-709574230.html
"продаж 1-к квартира Бучанський, Софіївська Борщагівка, 48000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-buchanskyi-sofiivska-borshchahivka-48000-$-10-709574229.html
"довгострокова оренда 1-к квартира Київ, Оболонський, 14900 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-1-k-kvartyra-kyiv-obolonskyi-14900-hrn-mis-709573618.html
"продаж 1-к квартира Київ, Голосіївський, 98500 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-holosiivskyi-98500-$-709572733.html
Продаж картин (вишивка бісером),https://www.bazarok.ua/ru/obyavleniya/prodazh-kartyn-vyshyvka-biserom-709574228.html
"продаж 2-к квартира Київ, Шевченківський, 41000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-shevchenkivskyi-41000-$-12-709574227.html
Вело колесо на двойном ободе спица 3мм на пром под трещотку,https://www.bazarok.ua/ru/obyavleniya/velo-koleso-na-dvoinom-obode-spytsa-3mm-na-prom-pod-treshchotku-709574226.html
"продаж 2-к квартира Бучанський, Буча, 53000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-buchanskyi-bucha-53000-$-709574225.html
"продаж 2-к квартира Київ, Шевченківський, 79000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-shevchenkivskyi-79000-$-7-709574224.html
Квартира посуточно Новые дома,https://www.bazarok.ua/ru/obyavleniya/kvartira-posutochno-novye-doma-709574223.html
"довгострокова оренда офісне приміщення Київ, Шевченківський, 2775 $/міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-ofisne-prymishchennia-kyiv-shevchenkivskyi-2775-$-mis-4-709574222.html
"довгострокова оренда офісне приміщення Київ, Солом`янський, 11640 $/міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-ofisne-prymishchennia-kyiv-solomianskyi-11640-$-mis-2-709574221.html
"продаж 3-к квартира Київ, Дніпровський, 122000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-dniprovskyi-122000-$-709573579.html
"продаж 1-к квартира Київ, Святошинський, 34990 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-kyiv-sviatoshynskyi-34990-$-709573200.html
"продаж 1-к квартира Бучанський, Святопетрівське, 44000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-1-k-kvartyra-buchanskyi-sviatopetrivske-44000-$-709574177.html
"продаж 3-к квартира Київ, Дніпровський, 133000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-dniprovskyi-133000-$-709573679.html
"продаж 3-к квартира Київ, Голосіївський, 186000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-holosiivskyi-186000-$-709573480.html
Вело колеса 20.24.26.28 дюймов двойной обод на планетарной втулке 3 скоростей комплект,https://www.bazarok.ua/ru/obyavleniya/velo-kolesa-20-24-26-28-diuimov-dvoinoi-obod-na-planetarnoi-vtulke-3-skorostei-komplekt-683382589.html
Планетарная втулка Shimano Nexus Inter-3 Sg-3c41 опт и розница,https://www.bazarok.ua/ru/obyavleniya/planetarnaia-vtulka-shimano-nexus-inter-3-sg-3c41-opt-y-roznytsa-709568612.html
Тормоза ви-брейки полный комплект на два колеса Shimano BR-T4000,https://www.bazarok.ua/ru/obyavleniya/tormoza-vy-breiky-polnyi-komplekt-na-dva-kolesa-shimano-br-t4000-709570149.html
Купуємо волосся в Чернігові та по всій Україні від 42см -0935573993,https://www.bazarok.ua/ru/obyavleniya/kupuiemo-volossia-v-chernihovi-ta-po-vsii-ukraini-vid-42sm-0935573993-2-709574421.html
Автономная Фонарь-лампа,https://www.bazarok.ua/ru/obyavleniya/avtonomnaia-fonar-lampa-709574420.html
Ліжко двоспальне на панцирній металевій сітцi. 195/120,https://www.bazarok.ua/ru/obyavleniya/lizhko-dvospalne-na-pantsyrnii-metalevii-sittsi-195-120-709551732.html
Сейф металевий на два відділення в задовільному стані.,https://www.bazarok.ua/ru/obyavleniya/seif-metalevyi-na-dva-viddilennia-v-zadovilnomu-stani-709566408.html
Panasonic КХ-F130,https://www.bazarok.ua/ru/obyavleniya/panasonic-kkh-f130-709566406.html
Сучасний офісний стіл,https://www.bazarok.ua/ru/obyavleniya/suchasnyi-ofisnyi-stil-709566405.html
"Pixus Jet Діагональ екрану, 5. Роздільна здатність екрану, 720х128",https://www.bazarok.ua/ru/obyavleniya/pixus-jet-diahonal-ekranu-5-rozdilna-zdatnist-ekranu-720kh128-709564841.html
Радіоприймач Golon Чорний RX-381 з MP3 та ліхтариком,https://www.bazarok.ua/ru/obyavleniya/radiopryimach-golon-chornyi-rx-381-z-mp3-ta-likhtarykom-709564893.html
"Катетер Фолея силіконовий 2х ходовий Apexmed Ch/Fr 18, балон 30 мл",https://www.bazarok.ua/ru/obyavleniya/kateter-foleia-sylikonovyi-2kh-khodovyi-apexmed-ch-fr-18-balon-30-ml-709552053.html
Оренда салону краси,https://www.bazarok.ua/ru/obyavleniya/orenda-salonu-krasy-638012723.html
Мобільний телефон Viaan V181 Black,https://www.bazarok.ua/ru/obyavleniya/mobilnyi-telefon-viaan-v181-black-709564843.html
"Труси-підгузки для дорослих Tena Pants Normal Large, 30 шт.",https://www.bazarok.ua/ru/obyavleniya/trusy-pidhuzky-dlia-doroslykh-tena-pants-normal-large-30-sht-709552051.html
"довгострокова оренда 2-к квартира Київ, Подільський, 10500 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-2-k-kvartyra-kyiv-podilskyi-10500-hrn-mis-2-709574418.html
"продаж приміщення вільного призначення, будівлі Київ, Голосіївський, 1800000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-prymishchennia-vilnoho-pryznachennia-budivli-kyiv-holosiivskyi-1800000-$-3-709574417.html
Написання Курсових робіт,https://www.bazarok.ua/ru/obyavleniya/napysannia-kursovykh-robit-709574416.html
Разбор психоматрицы,https://www.bazarok.ua/ru/obyavleniya/razbor-psykhomatrytsy-709559077.html
Продам крісло-ліжко,https://www.bazarok.ua/ru/obyavleniya/prodam-krislo-lizhko-709574415.html
Зимова куртка для хлопчика,https://www.bazarok.ua/ru/obyavleniya/zymova-kurtka-dlia-khlopchyka-709574412.html
"продаж приміщення вільного призначення, будівлі Київ, Солом`янський, 950000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-prymishchennia-vilnoho-pryznachennia-budivli-kyiv-solomianskyi-950000-$-30-709574410.html
"продаж готель Київ, Печерський, 2700000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-hotel-kyiv-pecherskyi-2700000-$-18-709574409.html
"продаж виробничі приміщення Вишгородський, Іванків, 250000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-vyrobnychi-prymishchennia-vyshhorodskyi-ivankiv-250000-$-18-709574408.html
"продаж ділянка під житлову забудову Бориспільський, Гнідин, 1986000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-dilianka-pid-zhytlovu-zabudovu-boryspilskyi-hnidyn-1986000-$-18-709574407.html
"продаж приміщення вільного призначення, будівлі Київ, Шевченківський, 4900000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-prymishchennia-vilnoho-pryznachennia-budivli-kyiv-shevchenkivskyi-4900000-$-32-709574406.html
"продаж торгові площі Київ, Святошинський, 425000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-torhovi-ploshchi-kyiv-sviatoshynskyi-425000-$-25-709574405.html
